Canada,Alberta,Acme
Canada,Alberta,"Alberta Beach"
Canada,Alberta,Alix
Canada,Alberta,Alliance
Canada,Alberta,Amisk
Canada,Alberta,Andrew
Canada,Alberta,"Argentia Beach"
Canada,Alberta,Arrowwood
Canada,Alberta,Barnwell
Canada,Alberta,Barons
Canada,Alberta,Bawlf
Canada,Alberta,Beiseker
Canada,Alberta,Berwyn
Canada,Alberta,"Betula Beach"
Canada,Alberta,"Big Valley"
Canada,Alberta,"Birch Cove"
Canada,Alberta,Birchcliff
Canada,Alberta,"Bittern Lake"
Canada,Alberta,Bondiss
Canada,Alberta,"Bonnyville Beach"
Canada,Alberta,Botha
Canada,Alberta,Boyle
Canada,Alberta,Breton
Canada,Alberta,Burdett
Canada,Alberta,"Burnstick Lake"
Canada,Alberta,Carbon
Canada,Alberta,Carmangay
Canada,Alberta,Caroline
Canada,Alberta,"Castle Island"
Canada,Alberta,Cereal
Canada,Alberta,Champion
Canada,Alberta,Chauvin
Canada,Alberta,Chipman
Canada,Alberta,Clive
Canada,Alberta,Clyde
Canada,Alberta,Consort
Canada,Alberta,Coutts
Canada,Alberta,Cowley
Canada,Alberta,Cremona
Canada,Alberta,"Crystal Springs"
Canada,Alberta,Czar
Canada,Alberta,Delburne
Canada,Alberta,Delia
Canada,Alberta,Derwent
Canada,Alberta,Dewberry
Canada,Alberta,Donalda
Canada,Alberta,Donnelly
Canada,Alberta,Duchess
Canada,Alberta,Edberg
Canada,Alberta,Edgerton
Canada,Alberta,Elnora
Canada,Alberta,Empress
Canada,Alberta,Ferintosh
Canada,Alberta,Foremost
Canada,Alberta,Forestburg
Canada,Alberta,Gadsby
Canada,Alberta,Galahad
Canada,Alberta,"Ghost Lake"
Canada,Alberta,Girouxville
Canada,Alberta,Glendon
Canada,Alberta,Glenwood
Canada,Alberta,"Golden Days"
Canada,Alberta,Grandview
Canada,Alberta,"Gull Lake"
Canada,Alberta,"Half Moon Bay"
Canada,Alberta,Halkirk
Canada,Alberta,"Hay Lakes"
Canada,Alberta,Heisler
Canada,Alberta,Hillspring
Canada,Alberta,"Hines Creek"
Canada,Alberta,Holden
Canada,Alberta,"Horseshoe Bay"
Canada,Alberta,Hughenden
Canada,Alberta,Hussar
Canada,Alberta,Hythe
Canada,Alberta,Innisfree
Canada,Alberta,Irma
Canada,Alberta,Irricana
Canada,Alberta,"Island Lake South"
Canada,Alberta,"Island Lake"
Canada,Alberta,"Itaska Beach"
Canada,Alberta,"Jarvis Bay"
Canada,Alberta,Kapasiwin
Canada,Alberta,Kinuso
